,gender,relevent_experience,enrolled_university,education_level,major_discipline,company_type,last_new_job,training_hours,target,city_id,city_dev_perc,experience_lvl,company_class
0,1,1,no_enrollment,Graduate,STEM,,1,36,1.0,103,92.0,expert_lvl,unknown
1,1,0,no_enrollment,Graduate,STEM,Pvt Ltd,>4,47,0.0,40,77.6,expert_lvl,small_company
2,0,0,Full time course,Graduate,STEM,,0,83,0.0,21,62.4,mid_lvl,unknown
3,0,0,,Graduate,Business Degree,Pvt Ltd,0,52,1.0,115,78.9,entry_lvl,unknown
4,1,1,no_enrollment,Masters,STEM,Funded Startup,4,8,0.0,162,76.7,expert_lvl,small_company
5,0,1,Part time course,Graduate,STEM,,1,24,1.0,176,76.4,senior_lvl,unknown
6,1,1,no_enrollment,High School,,Funded Startup,1,24,0.0,160,92.0,mid_lvl,small_company
7,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,18,1.0,46,76.2,senior_lvl,small_company
8,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,46,1.0,103,92.0,mid_lvl,small_company
9,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,123,0.0,103,92.0,expert_lvl,very_large_company
10,0,0,Full time course,High School,,,0,32,1.0,21,62.4,mid_lvl,unknown
11,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,108,0.0,103,92.0,mid_lvl,large_company
12,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,3,23,0.0,61,91.3,expert_lvl,large_company
13,1,0,,,,,0,24,0.0,21,62.4,mid_lvl,unknown
14,0,0,Full time course,High School,,,0,26,0.0,21,62.4,mid_lvl,unknown
15,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,18,0.0,114,92.6,expert_lvl,small_company
16,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,0,106,0.0,103,92.0,entry_lvl,small_company
17,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,7,0.0,21,62.4,mid_lvl,large_company
18,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,0,23,1.0,21,62.4,mid_lvl,very_large_company
19,2,1,no_enrollment,Graduate,Arts,,1,132,1.0,13,82.7,mid_lvl,unknown
20,1,1,no_enrollment,Masters,STEM,Pvt Ltd,1,68,0.0,159,84.3,senior_lvl,mid_size_company
21,1,1,no_enrollment,Masters,STEM,Pvt Ltd,2,50,0.0,114,92.6,senior_lvl,mid_size_company
22,0,1,no_enrollment,Masters,STEM,,1,48,0.0,102,80.4,senior_lvl,unknown
23,1,1,no_enrollment,Graduate,Humanities,Pvt Ltd,1,65,0.0,40,77.6,entry_lvl,large_company
24,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,13,0.0,21,62.4,mid_lvl,large_company
25,0,0,no_enrollment,High School,,,0,22,0.0,67,85.5,mid_lvl,unknown
26,0,1,Part time course,Graduate,STEM,Pvt Ltd,1,148,1.0,21,62.4,senior_lvl,mid_size_company
27,1,1,no_enrollment,Graduate,Arts,,2,72,0.0,103,92.0,mid_lvl,unknown
28,1,1,no_enrollment,High School,,Pvt Ltd,1,8,1.0,100,88.7,senior_lvl,small_company
29,1,1,no_enrollment,Graduate,STEM,Funded Startup,2,68,1.0,21,62.4,expert_lvl,small_company
30,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,3,40,0.0,103,92.0,expert_lvl,mid_size_company
31,1,1,Part time course,Graduate,STEM,Pvt Ltd,>4,141,0.0,103,92.0,expert_lvl,large_company
32,2,0,Full time course,Graduate,STEM,,1,24,0.0,103,92.0,mid_lvl,unknown
33,2,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,82,0.0,160,92.0,expert_lvl,mid_size_company
34,1,1,no_enrollment,Graduate,Business Degree,Pvt Ltd,3,145,0.0,16,91.0,senior_lvl,large_company
35,1,1,no_enrollment,Graduate,STEM,Early Stage Startup,2,206,0.0,103,92.0,senior_lvl,small_company
36,1,0,Part time course,High School,,Other,1,152,0.0,114,92.6,entry_lvl,very_large_company
37,1,1,no_enrollment,Phd,STEM,Pvt Ltd,4,42,1.0,114,92.6,expert_lvl,mid_size_company
38,0,0,no_enrollment,Graduate,STEM,,4,50,0.0,103,92.0,senior_lvl,unknown
39,1,0,no_enrollment,,,,0,106,0.0,71,88.4,mid_lvl,unknown
40,2,1,Full time course,Masters,STEM,Public Sector,2,14,0.0,114,92.6,expert_lvl,large_company
41,1,1,no_enrollment,High School,,Pvt Ltd,2,36,0.0,104,92.4,mid_lvl,small_company
42,0,1,no_enrollment,Masters,STEM,Early Stage Startup,1,112,1.0,21,62.4,mid_lvl,small_company
43,0,0,no_enrollment,Graduate,No Major,Pvt Ltd,0,108,0.0,64,66.6,mid_lvl,small_company
44,1,1,Part time course,Masters,STEM,Pvt Ltd,3,7,1.0,21,62.4,mid_lvl,large_company
45,2,0,Full time course,Masters,STEM,,0,26,1.0,21,62.4,mid_lvl,unknown
46,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,0,87,1.0,21,62.4,mid_lvl,mid_size_company
47,0,1,no_enrollment,Graduate,STEM,Public Sector,4,52,1.0,103,92.0,expert_lvl,very_large_company
48,1,1,no_enrollment,Graduate,No Major,,>4,20,1.0,101,55.8,expert_lvl,unknown
49,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,21,0.0,83,92.3,senior_lvl,small_company
50,1,0,no_enrollment,Graduate,STEM,,1,92,1.0,101,55.8,mid_lvl,unknown
51,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,102,0.0,64,66.6,senior_lvl,mid_size_company
52,1,0,no_enrollment,Graduate,Humanities,Pvt Ltd,>4,26,0.0,105,79.4,mid_lvl,very_large_company
53,0,1,no_enrollment,Masters,STEM,Early Stage Startup,2,7,0.0,104,92.4,mid_lvl,small_company
54,1,0,Full time course,High School,,Pvt Ltd,1,43,0.0,114,92.6,mid_lvl,very_large_company
55,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,45,0.0,104,92.4,expert_lvl,mid_size_company
56,1,1,Full time course,Graduate,STEM,Early Stage Startup,2,52,0.0,73,75.4,mid_lvl,small_company
57,1,1,no_enrollment,Graduate,STEM,,2,19,0.0,103,92.0,expert_lvl,unknown
58,0,1,Full time course,Graduate,STEM,Funded Startup,,32,1.0,21,62.4,mid_lvl,small_company
59,1,1,no_enrollment,Graduate,Humanities,Pvt Ltd,>4,26,1.0,162,76.7,expert_lvl,mid_size_company
60,1,1,Part time course,Graduate,STEM,,1,90,0.0,67,85.5,mid_lvl,unknown
61,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,3,25,0.0,75,93.9,mid_lvl,mid_size_company
62,0,1,,Masters,STEM,,1,15,0.0,41,82.7,senior_lvl,small_company
63,1,1,no_enrollment,Masters,Humanities,Pvt Ltd,>4,48,0.0,100,88.7,expert_lvl,mid_size_company
64,0,0,Full time course,High School,,,,98,0.0,11,55.00000000000001,mid_lvl,unknown
65,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,142,1.0,93,86.5,senior_lvl,small_company
66,0,0,no_enrollment,Masters,Humanities,Pvt Ltd,4,13,0.0,67,85.5,mid_lvl,very_large_company
67,1,1,no_enrollment,Graduate,STEM,,>4,47,0.0,16,91.0,expert_lvl,unknown
68,2,1,no_enrollment,Masters,Humanities,Public Sector,1,28,0.0,16,91.0,senior_lvl,mid_size_company
69,0,0,,,,Pvt Ltd,0,228,1.0,90,69.8,mid_lvl,unknown
70,1,1,no_enrollment,Graduate,STEM,,4,22,0.0,64,66.6,expert_lvl,unknown
71,1,0,Full time course,Graduate,STEM,,0,18,1.0,21,62.4,entry_lvl,unknown
72,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,29,0.0,13,82.7,mid_lvl,small_company
73,1,1,no_enrollment,Masters,STEM,,1,46,0.0,67,85.5,mid_lvl,mid_size_company
74,0,0,Full time course,Graduate,STEM,,0,12,0.0,11,55.00000000000001,entry_lvl,unknown
75,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,17,0.0,103,92.0,mid_lvl,mid_size_company
76,1,1,no_enrollment,Masters,STEM,Pvt Ltd,2,65,0.0,36,89.3,mid_lvl,small_company
77,1,0,no_enrollment,Graduate,Humanities,Pvt Ltd,1,35,0.0,103,92.0,mid_lvl,mid_size_company
78,1,0,Full time course,Graduate,STEM,Pvt Ltd,3,14,0.0,67,85.5,mid_lvl,very_large_company
79,2,1,no_enrollment,Masters,STEM,Early Stage Startup,1,4,0.0,103,92.0,mid_lvl,small_company
80,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,12,0.0,103,92.0,expert_lvl,small_company
81,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,108,0.0,160,92.0,expert_lvl,small_company
82,1,0,no_enrollment,Graduate,STEM,,1,136,0.0,103,92.0,expert_lvl,unknown
83,1,1,no_enrollment,Graduate,STEM,,1,27,0.0,103,92.0,mid_lvl,small_company
84,0,1,Part time course,Masters,STEM,Funded Startup,1,74,0.0,20,79.6,mid_lvl,small_company
85,1,1,no_enrollment,Graduate,STEM,Early Stage Startup,1,86,0.0,71,88.4,expert_lvl,small_company
86,2,0,Part time course,Graduate,STEM,Pvt Ltd,2,83,0.0,57,86.6,entry_lvl,small_company
87,0,0,Full time course,High School,,,3,75,0.0,103,92.0,mid_lvl,unknown
88,1,0,Full time course,Masters,STEM,Public Sector,2,42,0.0,152,69.8,senior_lvl,unknown
89,2,1,no_enrollment,Graduate,STEM,,1,332,0.0,103,92.0,mid_lvl,mid_size_company
90,1,0,Full time course,Graduate,STEM,,,140,0.0,61,91.3,mid_lvl,unknown
91,1,0,no_enrollment,High School,,,0,182,0.0,16,91.0,mid_lvl,unknown
92,2,0,no_enrollment,Graduate,Humanities,Pvt Ltd,1,13,1.0,103,92.0,mid_lvl,mid_size_company
93,0,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,172,1.0,19,68.2,mid_lvl,small_company
94,0,1,no_enrollment,Graduate,STEM,NGO,1,48,0.0,103,92.0,senior_lvl,mid_size_company
95,1,1,Full time course,Graduate,STEM,Pvt Ltd,1,33,0.0,65,80.2,mid_lvl,small_company
96,0,0,Full time course,High School,,Pvt Ltd,1,142,0.0,160,92.0,mid_lvl,mid_size_company
97,0,0,Full time course,Graduate,STEM,Pvt Ltd,1,34,0.0,74,57.9,mid_lvl,mid_size_company
98,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,14,1.0,65,80.2,mid_lvl,small_company
99,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,27,1.0,11,55.00000000000001,mid_lvl,small_company
100,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,24,1.0,11,55.00000000000001,mid_lvl,mid_size_company
101,0,0,no_enrollment,Masters,STEM,,1,150,0.0,173,87.8,expert_lvl,unknown
102,2,1,no_enrollment,Graduate,STEM,NGO,>4,20,0.0,103,92.0,senior_lvl,mid_size_company
103,0,1,no_enrollment,Graduate,STEM,,1,140,0.0,103,92.0,mid_lvl,mid_size_company
104,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,52,0.0,16,91.0,senior_lvl,large_company
105,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,160,0.0,75,93.9,expert_lvl,small_company
106,1,1,no_enrollment,Masters,STEM,Pvt Ltd,2,3,0.0,136,89.7,mid_lvl,large_company
107,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,2,1.0,21,62.4,mid_lvl,small_company
108,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,28,0.0,16,91.0,expert_lvl,large_company
109,1,1,no_enrollment,Graduate,Other,,4,46,0.0,73,75.4,expert_lvl,unknown
110,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,210,0.0,67,85.5,mid_lvl,small_company
111,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,36,0.0,114,92.6,senior_lvl,small_company
112,1,0,Full time course,Graduate,STEM,,1,160,1.0,98,94.9,mid_lvl,unknown
113,1,1,Full time course,Graduate,STEM,NGO,2,101,0.0,21,62.4,mid_lvl,small_company
114,1,1,no_enrollment,Masters,STEM,,1,46,0.0,114,92.6,mid_lvl,small_company
115,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,19,0.0,97,92.5,expert_lvl,large_company
116,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,26,1.0,21,62.4,mid_lvl,mid_size_company
117,0,1,Full time course,Graduate,STEM,NGO,1,90,0.0,90,69.8,mid_lvl,small_company
118,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,4,59,0.0,50,89.6,mid_lvl,small_company
119,1,1,Part time course,Graduate,Business Degree,Funded Startup,1,260,0.0,160,92.0,senior_lvl,small_company
120,2,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,74,0.0,21,62.4,senior_lvl,small_company
121,1,1,no_enrollment,Phd,STEM,Pvt Ltd,2,20,1.0,16,91.0,expert_lvl,mid_size_company
122,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,2,8,0.0,173,87.8,senior_lvl,mid_size_company
123,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,1,131,0.0,103,92.0,mid_lvl,mid_size_company
124,1,1,Full time course,Masters,STEM,,1,45,0.0,138,83.6,mid_lvl,unknown
125,1,1,Full time course,Graduate,STEM,Pvt Ltd,2,109,0.0,82,69.3,senior_lvl,small_company
126,1,1,no_enrollment,Graduate,Humanities,Pvt Ltd,1,70,0.0,67,85.5,mid_lvl,mid_size_company
127,2,1,no_enrollment,Graduate,STEM,NGO,>4,17,0.0,103,92.0,expert_lvl,mid_size_company
128,2,0,no_enrollment,Masters,STEM,Pvt Ltd,1,51,0.0,103,92.0,expert_lvl,small_company
129,2,1,no_enrollment,Graduate,STEM,Pvt Ltd,3,60,1.0,103,92.0,mid_lvl,small_company
130,0,0,no_enrollment,Phd,STEM,Public Sector,>4,4,0.0,36,89.3,expert_lvl,large_company
131,1,0,no_enrollment,Graduate,STEM,Pvt Ltd,>4,7,0.0,114,92.6,senior_lvl,mid_size_company
132,0,1,no_enrollment,Masters,STEM,Pvt Ltd,3,164,0.0,102,80.4,expert_lvl,mid_size_company
133,1,1,no_enrollment,Graduate,STEM,,4,290,0.0,64,66.6,expert_lvl,unknown
134,1,0,no_enrollment,High School,,NGO,0,145,0.0,102,80.4,mid_lvl,small_company
135,0,0,no_enrollment,Phd,STEM,,,70,0.0,103,92.0,unknown,unknown
136,1,0,no_enrollment,,,,1,24,0.0,21,62.4,mid_lvl,unknown
137,1,0,no_enrollment,Masters,Humanities,Pvt Ltd,1,133,1.0,103,92.0,mid_lvl,very_large_company
138,0,0,Full time course,Graduate,STEM,,1,20,0.0,11,55.00000000000001,mid_lvl,unknown
139,1,1,no_enrollment,Graduate,STEM,Funded Startup,1,76,0.0,103,92.0,senior_lvl,small_company
140,2,0,Full time course,Masters,STEM,,4,21,1.0,90,69.8,mid_lvl,unknown
141,2,1,no_enrollment,Graduate,Other,Pvt Ltd,2,34,0.0,21,62.4,mid_lvl,large_company
142,1,0,no_enrollment,Graduate,STEM,Pvt Ltd,2,15,0.0,160,92.0,mid_lvl,small_company
143,1,0,no_enrollment,Graduate,STEM,,>4,156,0.0,57,86.6,expert_lvl,unknown
144,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,>4,15,0.0,103,92.0,expert_lvl,large_company
145,0,1,no_enrollment,Masters,STEM,,0,120,0.0,114,92.6,expert_lvl,unknown
146,0,1,no_enrollment,Graduate,No Major,,>4,47,0.0,157,76.9,senior_lvl,very_large_company
147,1,1,no_enrollment,Graduate,STEM,,2,100,1.0,73,75.4,senior_lvl,unknown
148,1,1,Part time course,Graduate,STEM,Pvt Ltd,0,102,0.0,67,85.5,mid_lvl,mid_size_company
149,1,0,no_enrollment,High School,,,0,52,0.0,103,92.0,mid_lvl,unknown
150,0,1,no_enrollment,High School,,,4,39,0.0,114,92.6,mid_lvl,small_company
151,1,1,Full time course,High School,,,1,112,1.0,103,92.0,mid_lvl,unknown
152,1,0,no_enrollment,Phd,STEM,Pvt Ltd,>4,14,0.0,103,92.0,expert_lvl,small_company
153,0,1,no_enrollment,,,,1,4,0.0,16,91.0,senior_lvl,unknown
154,0,1,no_enrollment,Masters,Arts,NGO,>4,55,0.0,16,91.0,expert_lvl,large_company
155,1,1,no_enrollment,Graduate,STEM,Pvt Ltd,4,49,1.0,21,62.4,mid_lvl,very_large_company
156,1,1,no_enrollment,Graduate,STEM,,>4,72,0.0,16,91.0,expert_lvl,unknown
