,Unnamed: 0,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_id,city_dev_perc,experience_lvl,company_class
0,0,8949,city_103,0.92,1,1,no_enrollment,Graduate,STEM,>20,,,1,36,1.0,103,92.0,expert_lvl,unknown
1,1,29725,city_40,0.7759999999999999,1,0,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0,40,77.6,expert_lvl,small_company
2,2,11561,city_21,0.624,0,0,Full time course,Graduate,STEM,5,,,0,83,0.0,21,62.4,mid_lvl,unknown
3,3,33241,city_115,0.789,0,0,,Graduate,Business Degree,<1,,Pvt Ltd,0,52,1.0,115,78.9,entry_lvl,unknown
4,4,666,city_162,0.767,1,1,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0.0,162,76.7,expert_lvl,small_company
5,5,21651,city_176,0.764,0,1,Part time course,Graduate,STEM,11,,,1,24,1.0,176,76.4,senior_lvl,unknown
6,6,28806,city_160,0.92,1,1,no_enrollment,High School,,5,50-99,Funded Startup,1,24,0.0,160,92.0,mid_lvl,small_company
7,7,402,city_46,0.762,1,1,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0,46,76.2,senior_lvl,small_company
8,8,27107,city_103,0.92,1,1,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0,103,92.0,mid_lvl,small_company
9,9,699,city_103,0.92,0,1,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0.0,103,92.0,expert_lvl,very_large_company
10,10,29452,city_21,0.624,0,0,Full time course,High School,,2,,,0,32,1.0,21,62.4,mid_lvl,unknown
11,11,23853,city_103,0.92,1,1,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0,103,92.0,mid_lvl,large_company
12,12,25619,city_61,0.913,1,1,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0.0,61,91.3,expert_lvl,large_company
13,13,5826,city_21,0.624,1,0,,,,2,,,0,24,0.0,21,62.4,mid_lvl,unknown
14,14,8722,city_21,0.624,0,0,Full time course,High School,,5,,,0,26,0.0,21,62.4,mid_lvl,unknown
